fecha,trip_id,block_id,codLinea,ruta,cod_origen,estacion_origen,hora_salida,cod_destino,estacion_destino,hora_llegada,num_paradas,accesible
2026-09-25,4784M00003BUS,4784M00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4785X00003BUS,4785X00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4786J00003BUS,4786J00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4787V00003BUS,4787V00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4790L00003BUS,4790L00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4791M00003BUS,4791M00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4792X00003BUS,4792X00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4793J00003BUS,4793J00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4794V00003BUS,4794V00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4765J00021BUS,4765J00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4766V00021BUS,4766V00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4769L00021BUS,4769L00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4770M00021BUS,4770M00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4771X00021BUS,4771X00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4772J00021BUS,4772J00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4773V00021BUS,4773V00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4776L00021BUS,4776L00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4777M00021BUS,4777M00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4778X00021BUS,4778X00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4779J00021BUS,4779J00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4780V00021BUS,4780V00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4783L00021BUS,4783L00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4784M00021BUS,4784M00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4785X00021BUS,4785X00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4786J00021BUS,4786J00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4787V00021BUS,4787V00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4790L00021BUS,4790L00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4791M00021BUS,4791M00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4792X00021BUS,4792X00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4793J00021BUS,4793J00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4794V00021BUS,4794V00021,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,08:53:00,05778,Feve-León,09:06:00,4,2
2026-09-25,4765J00004BUS,4765J00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4766V00004BUS,4766V00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4767S00004BUS,4767S00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4768D00004BUS,4768D00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4769L00004BUS,4769L00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4770M00004BUS,4770M00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4771X00004BUS,4771X00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4772J00004BUS,4772J00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4773V00004BUS,4773V00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4774S00004BUS,4774S00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4775D00004BUS,4775D00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4776L00004BUS,4776L00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4777M00004BUS,4777M00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4778X00004BUS,4778X00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4779J00004BUS,4779J00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4780V00004BUS,4780V00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4781S00004BUS,4781S00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4782D00004BUS,4782D00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4783L00004BUS,4783L00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4784M00004BUS,4784M00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4785X00004BUS,4785X00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4786J00004BUS,4786J00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4787V00004BUS,4787V00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4788S00004BUS,4788S00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4789D00004BUS,4789D00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4790L00004BUS,4790L00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4791M00004BUS,4791M00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4792X00004BUS,4792X00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4793J00004BUS,4793J00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4794V00004BUS,4794V00004,BUS,León                                    -Asunción-Universidad,05778,Feve-León,09:16:00,05803,La Asunción Universidad,09:34:00,4,2
2026-09-25,4765J00022BUS,4765J00022,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4766V00022BUS,4766V00022,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4767S00023BUS,4767S00023,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4768D00023BUS,4768D00023,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4769L00022BUS,4769L00022,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4770M00022BUS,4770M00022,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4771X00022BUS,4771X00022,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4772J00022BUS,4772J00022,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4773V00022BUS,4773V00022,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4774S00023BUS,4774S00023,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4775D00023BUS,4775D00023,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4776L00022BUS,4776L00022,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4777M00022BUS,4777M00022,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4778X00022BUS,4778X00022,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4779J00022BUS,4779J00022,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4780V00022BUS,4780V00022,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4781S00023BUS,4781S00023,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4782D00023BUS,4782D00023,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
2026-09-25,4783L00022BUS,4783L00022,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,09:28:00,05778,Feve-León,09:41:00,4,2
