service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
4008M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
4009X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
4010J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
4011V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
4012S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
4013D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
4014L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
4084D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
4085L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
4086M,0,1,0,0,0,0,0,20260331,20260331                                                                                                                 
4087X,0,0,1,0,0,0,0,20260401,20260401                                                                                                                 
4088J,0,0,0,1,0,0,0,20260402,20260402                                                                                                                 
4089V,0,0,0,0,1,0,0,20260403,20260403                                                                                                                 
4090S,0,0,0,0,0,1,0,20260404,20260404                                                                                                                 
4091D,0,0,0,0,0,0,1,20260405,20260405                                                                                                                 
4092L,1,0,0,0,0,0,0,20260406,20260406                                                                                                                 
4093M,0,1,0,0,0,0,0,20260407,20260407                                                                                                                 
4094X,0,0,1,0,0,0,0,20260408,20260408                                                                                                                 
4095J,0,0,0,1,0,0,0,20260409,20260409                                                                                                                 
4096V,0,0,0,0,1,0,0,20260410,20260410                                                                                                                 
4097S,0,0,0,0,0,1,0,20260411,20260411                                                                                                                 
4098D,0,0,0,0,0,0,1,20260412,20260412                                                                                                                 
4099L,1,0,0,0,0,0,0,20260413,20260413                                                                                                                 
4101M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
4102X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
4103J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
4104V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
4105S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
4106D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
4107L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
4108M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
4109X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
4110J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
4111V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
4112S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
4113D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
4114L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
4184D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
4185L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
4186M,0,1,0,0,0,0,0,20260331,20260331                                                                                                                 
4187X,0,0,1,0,0,0,0,20260401,20260401                                                                                                                 
4188J,0,0,0,1,0,0,0,20260402,20260402                                                                                                                 
4189V,0,0,0,0,1,0,0,20260403,20260403                                                                                                                 
4190S,0,0,0,0,0,1,0,20260404,20260404                                                                                                                 
4191D,0,0,0,0,0,0,1,20260405,20260405                                                                                                                 
4192L,1,0,0,0,0,0,0,20260406,20260406                                                                                                                 
4193M,0,1,0,0,0,0,0,20260407,20260407                                                                                                                 
4194X,0,0,1,0,0,0,0,20260408,20260408                                                                                                                 
4195J,0,0,0,1,0,0,0,20260409,20260409                                                                                                                 
4196V,0,0,0,0,1,0,0,20260410,20260410                                                                                                                 
4197S,0,0,0,0,0,1,0,20260411,20260411                                                                                                                 
4198D,0,0,0,0,0,0,1,20260412,20260412                                                                                                                 
4199L,1,0,0,0,0,0,0,20260413,20260413                                                                                                                 
4501M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
4502X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
4503J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
4504V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
4505S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
4506D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
4507L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
4508M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
4509X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
4510J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
4511V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
4512S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
4513D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
4514L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
4584D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
4585L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
4586M,0,1,0,0,0,0,0,20260331,20260331                                                                                                                 
4587X,0,0,1,0,0,0,0,20260401,20260401                                                                                                                 
4588J,0,0,0,1,0,0,0,20260402,20260402                                                                                                                 
4589V,0,0,0,0,1,0,0,20260403,20260403                                                                                                                 
4590S,0,0,0,0,0,1,0,20260404,20260404                                                                                                                 
4591D,0,0,0,0,0,0,1,20260405,20260405                                                                                                                 
4592L,1,0,0,0,0,0,0,20260406,20260406                                                                                                                 
4593M,0,1,0,0,0,0,0,20260407,20260407                                                                                                                 
4594X,0,0,1,0,0,0,0,20260408,20260408                                                                                                                 
4595J,0,0,0,1,0,0,0,20260409,20260409                                                                                                                 
4596V,0,0,0,0,1,0,0,20260410,20260410                                                                                                                 
4597S,0,0,0,0,0,1,0,20260411,20260411                                                                                                                 
4598D,0,0,0,0,0,0,1,20260412,20260412                                                                                                                 
4599L,1,0,0,0,0,0,0,20260413,20260413                                                                                                                 
4601M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
4602X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
4603J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
4604V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
4605S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
4606D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
4607L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
4608M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
4609X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
4610J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
4611V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
4612S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
4613D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
4614L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
4684D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
4685L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
4686M,0,1,0,0,0,0,0,20260331,20260331                                                                                                                 
4687X,0,0,1,0,0,0,0,20260401,20260401                                                                                                                 
4688J,0,0,0,1,0,0,0,20260402,20260402                                                                                                                 
4689V,0,0,0,0,1,0,0,20260403,20260403                                                                                                                 
4690S,0,0,0,0,0,1,0,20260404,20260404                                                                                                                 
4691D,0,0,0,0,0,0,1,20260405,20260405                                                                                                                 
4692L,1,0,0,0,0,0,0,20260406,20260406                                                                                                                 
4693M,0,1,0,0,0,0,0,20260407,20260407                                                                                                                 
4694X,0,0,1,0,0,0,0,20260408,20260408                                                                                                                 
4695J,0,0,0,1,0,0,0,20260409,20260409                                                                                                                 
4696V,0,0,0,0,1,0,0,20260410,20260410                                                                                                                 
4697S,0,0,0,0,0,1,0,20260411,20260411                                                                                                                 
4698D,0,0,0,0,0,0,1,20260412,20260412                                                                                                                 
4699L,1,0,0,0,0,0,0,20260413,20260413                                                                                                                 
4701M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
4702X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
4703J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
4704V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
4705S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
4706D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
4707L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
4708M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
4709X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
4710J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
4711V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
4712S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
4713D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
4714L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
4784D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
4785L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
4786M,0,1,0,0,0,0,0,20260331,20260331                                                                                                                 
4787X,0,0,1,0,0,0,0,20260401,20260401                                                                                                                 
4788J,0,0,0,1,0,0,0,20260402,20260402                                                                                                                 
4789V,0,0,0,0,1,0,0,20260403,20260403                                                                                                                 
4790S,0,0,0,0,0,1,0,20260404,20260404                                                                                                                 
4791D,0,0,0,0,0,0,1,20260405,20260405                                                                                                                 
4792L,1,0,0,0,0,0,0,20260406,20260406                                                                                                                 
4793M,0,1,0,0,0,0,0,20260407,20260407                                                                                                                 
4794X,0,0,1,0,0,0,0,20260408,20260408                                                                                                                 
4795J,0,0,0,1,0,0,0,20260409,20260409                                                                                                                 
4796V,0,0,0,0,1,0,0,20260410,20260410                                                                                                                 
4797S,0,0,0,0,0,1,0,20260411,20260411                                                                                                                 
4798D,0,0,0,0,0,0,1,20260412,20260412                                                                                                                 
4799L,1,0,0,0,0,0,0,20260413,20260413                                                                                                                 
5101M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
5102X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
5103J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
5104V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
5105S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
5106D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
5107L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
5108M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
5109X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
5110J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
5111V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
5112S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
5113D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
5114L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
5184D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
5185L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
5186M,0,1,0,0,0,0,0,20260331,20260331                                                                                                                 
5187X,0,0,1,0,0,0,0,20260401,20260401                                                                                                                 
5188J,0,0,0,1,0,0,0,20260402,20260402                                                                                                                 
5189V,0,0,0,0,1,0,0,20260403,20260403                                                                                                                 
5190S,0,0,0,0,0,1,0,20260404,20260404                                                                                                                 
5191D,0,0,0,0,0,0,1,20260405,20260405                                                                                                                 
5192L,1,0,0,0,0,0,0,20260406,20260406                                                                                                                 
5193M,0,1,0,0,0,0,0,20260407,20260407                                                                                                                 
5194X,0,0,1,0,0,0,0,20260408,20260408                                                                                                                 
5195J,0,0,0,1,0,0,0,20260409,20260409                                                                                                                 
5196V,0,0,0,0,1,0,0,20260410,20260410                                                                                                                 
5197S,0,0,0,0,0,1,0,20260411,20260411                                                                                                                 
5198D,0,0,0,0,0,0,1,20260412,20260412                                                                                                                 
5199L,1,0,0,0,0,0,0,20260413,20260413                                                                                                                 
